stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type,radius
9222247,Si2247,"Martinkyläntien th","Nikkiläntie",60.374392,25.253179,D,http://aikataulut.hsl.fi/pysakit/fi/9222247.html,0, ,0, ,3,40
9222248,Si2248,"Bubbiksenpolku","Pornaistentie",60.379359,25.273957,D,http://aikataulut.hsl.fi/pysakit/fi/9222248.html,0, ,0, ,3,40
9222249,Si2249,"Bubbiksenpolku","Pornaistentie",60.379242,25.274204,D,http://aikataulut.hsl.fi/pysakit/fi/9222249.html,0, ,0, ,3,40
9222259,Si2259,"Nikkilän terminaali","Iso Kylätie",60.375139,25.267128,D,http://aikataulut.hsl.fi/pysakit/fi/9222259.html,0,9200001,0,5,3,40
9222265,Si2265,"Uudensillantie","Iso Kylätie",60.373932,25.266205,D,http://aikataulut.hsl.fi/pysakit/fi/9222265.html,0, ,0, ,3,40
9222266,Si2266,"Uudensillantie","Iso Kylätie",60.372962,25.264518,D,http://aikataulut.hsl.fi/pysakit/fi/9222266.html,0, ,0, ,3,40
9223201,Si2301,"Kirkkoniityntie","Uudensillantie",60.373275,25.269570,D,http://aikataulut.hsl.fi/pysakit/fi/9223201.html,0, ,0, ,3,80
9223202,Si2302,"Itäinen Jokipuisto","Jokipuistontie",60.374499,25.278710,D,http://aikataulut.hsl.fi/pysakit/fi/9223202.html,0, ,0, ,3,20
9223203,Si2303,"Itäinen Jokipuisto","Jokipuistontie",60.373952,25.279264,D,http://aikataulut.hsl.fi/pysakit/fi/9223203.html,0, ,0, ,3,80
9223206,Si2306,"Laaksosuontie","Nikkiläntie",60.374383,25.284143,D,http://aikataulut.hsl.fi/pysakit/fi/9223206.html,0, ,0, ,3,80
9223207,Si2307,"Laaksosuontie","Nikkiläntie",60.373680,25.286597,D,http://aikataulut.hsl.fi/pysakit/fi/9223207.html,0, ,0, ,3,80
9223209,Si2309,"Mehuasema","Nikkiläntie",60.372798,25.291570,D,http://aikataulut.hsl.fi/pysakit/fi/9223209.html,0, ,0, ,3,80
9223210,Si2310,"Mehuasema","Nikkiläntie",60.372358,25.292820,D,http://aikataulut.hsl.fi/pysakit/fi/9223210.html,0, ,0, ,3,80
9223212,Si2312,"Nikkilän juhlatalo","Uudensillantie",60.373293,25.275359,D,http://aikataulut.hsl.fi/pysakit/fi/9223212.html,0, ,0, ,3,40
9223213,Si2313,"Nikkilän juhlatalo","Uudensillantie",60.373144,25.277438,D,http://aikataulut.hsl.fi/pysakit/fi/9223213.html,0, ,0, ,3,40
9224201,Si2401,"Norrskogen","Paippistentie",60.394237,25.273913,D,http://aikataulut.hsl.fi/pysakit/fi/9224201.html,0, ,0, ,3,80
9224202,Si2402,"Norrskogen","Paippistentie",60.393787,25.274147,D,http://aikataulut.hsl.fi/pysakit/fi/9224202.html,0, ,0, ,3,80
9224203,Si2403,"Pohjanniityntie","Paippistentie",60.391913,25.274664,D,http://aikataulut.hsl.fi/pysakit/fi/9224203.html,0, ,0, ,3,80
9224204,Si2404,"Pohjanniityntie","Paippistentie",60.390328,25.276070,D,http://aikataulut.hsl.fi/pysakit/fi/9224204.html,0, ,0, ,3,40
9224205,Si2405,"Kartanontie","Pornaistentie",60.384985,25.279799,D,http://aikataulut.hsl.fi/pysakit/fi/9224205.html,0, ,0, ,3,80
9224206,Si2406,"Viljatie","Paippistentie",60.387911,25.279678,D,http://aikataulut.hsl.fi/pysakit/fi/9224206.html,0, ,0, ,3,20
9224207,Si2407,"Nikkilän kartano","Pornaistentie",60.385903,25.280982,D,http://aikataulut.hsl.fi/pysakit/fi/9224207.html,0, ,0, ,3,80
9224208,Si2408,"Nikkilän kartano","Pornaistentie",60.386435,25.282542,D,http://aikataulut.hsl.fi/pysakit/fi/9224208.html,0, ,0, ,3,80
9224209,Si2409,"Kartanontie","Pornaistentie",60.383837,25.277388,D,http://aikataulut.hsl.fi/pysakit/fi/9224209.html,0, ,0, ,3,80
9224210,Si2410,"Kartanonrinne","Kartanonrinne",60.391690,25.276115,D,http://aikataulut.hsl.fi/pysakit/fi/9224210.html,0, ,0, ,3,64
9225201,Si2501,"Annanbackantie","Pornaistentie",60.408782,25.318287,D,http://aikataulut.hsl.fi/pysakit/fi/9225201.html,0, ,0, ,3,80
9225202,Si2502,"Viljan","Pornaistentie",60.401832,25.298322,D,http://aikataulut.hsl.fi/pysakit/fi/9225202.html,0, ,0, ,3,80
9225203,Si2503,"Viljan","Pornaistentie",60.402635,25.299295,D,http://aikataulut.hsl.fi/pysakit/fi/9225203.html,0, ,0, ,3,80
9225204,Si2504,"Broaksentie","Pornaistentie",60.405853,25.305318,D,http://aikataulut.hsl.fi/pysakit/fi/9225204.html,0, ,0, ,3,80
9225205,Si2505,"Broaksentie","Pornaistentie",60.406127,25.306650,D,http://aikataulut.hsl.fi/pysakit/fi/9225205.html,0, ,0, ,3,80
9225206,Si2506,"Linnantie","Pornaistentie",60.406810,25.315015,D,http://aikataulut.hsl.fi/pysakit/fi/9225206.html,0, ,0, ,3,80
9225207,Si2507,"Linnantie","Pornaistentie",60.406928,25.314803,D,http://aikataulut.hsl.fi/pysakit/fi/9225207.html,0, ,0, ,3,80
9225208,Si2508,"Annanbackantie","Pornaistentie",60.408890,25.318735,D,http://aikataulut.hsl.fi/pysakit/fi/9225208.html,0, ,0, ,3,80
9225209,Si2509,"Brantaksentie","Pornaistentie",60.410377,25.321968,D,http://aikataulut.hsl.fi/pysakit/fi/9225209.html,0, ,0, ,3,80
9225210,Si2510,"Brantaksentie","Pornaistentie",60.410613,25.322257,D,http://aikataulut.hsl.fi/pysakit/fi/9225210.html,0, ,0, ,3,80
9225211,Si2511,"Holstaksentie","Pornaistentie",60.412957,25.328448,D,http://aikataulut.hsl.fi/pysakit/fi/9225211.html,0, ,0, ,3,80
9225212,Si2512,"Holstaksentie","Pornaistentie",60.413080,25.328807,D,http://aikataulut.hsl.fi/pysakit/fi/9225212.html,0, ,0, ,3,80
9225213,Si2513,"Kotivalli","Pornaistentie",60.416030,25.330230,D,http://aikataulut.hsl.fi/pysakit/fi/9225213.html,0, ,0, ,3,80
9225214,Si2514,"Kotivalli","Pornaistentie",60.416008,25.330725,D,http://aikataulut.hsl.fi/pysakit/fi/9225214.html,0, ,0, ,3,80
9225215,Si2515,"Högbacka","Pornaistentie",60.418978,25.332633,D,http://aikataulut.hsl.fi/pysakit/fi/9225215.html,0, ,0, ,3,80
9225216,Si2516,"Högbacka","Pornaistentie",60.419980,25.332845,D,http://aikataulut.hsl.fi/pysakit/fi/9225216.html,0, ,0, ,3,80
9225217,Si2517,"Lövkoskentie","Pornaistentie",60.425150,25.338463,D,http://aikataulut.hsl.fi/pysakit/fi/9225217.html,0, ,0, ,3,80
9225218,Si2518,"Lövkoskentie","Pornaistentie",60.425025,25.338565,D,http://aikataulut.hsl.fi/pysakit/fi/9225218.html,0, ,0, ,3,80
9226201,Si2601,"Honkala","Paippistentie",60.455432,25.227765,D,http://aikataulut.hsl.fi/pysakit/fi/9226201.html,0, ,0, ,3,80
9226202,Si2602,"Honkala","Paippistentie",60.455297,25.227620,D,http://aikataulut.hsl.fi/pysakit/fi/9226202.html,0, ,0, ,3,80
9226203,Si2603,"Solbergintie","Paippistentie",60.452169,25.234042,D,http://aikataulut.hsl.fi/pysakit/fi/9226203.html,0, ,0, ,3,80
9226204,Si2604,"Solbergintie","Paippistentie",60.452095,25.234323,D,http://aikataulut.hsl.fi/pysakit/fi/9226204.html,0, ,0, ,3,80
9226205,Si2605,"Götbacka","Paippistentie",60.447078,25.242497,D,http://aikataulut.hsl.fi/pysakit/fi/9226205.html,0, ,0, ,3,80
9226206,Si2606,"Götbacka","Paippistentie",60.447018,25.243005,D,http://aikataulut.hsl.fi/pysakit/fi/9226206.html,0, ,0, ,3,80
9226207,Si2607,"Solbackantie","Paippistentie",60.441348,25.243490,D,http://aikataulut.hsl.fi/pysakit/fi/9226207.html,0, ,0, ,3,80
