route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1032,HSL,32,Lassila-Munkkivuori,,704,http://aikataulut.hsl.fi/linjat/fi/b32.html
1033,HSL,33,Munkkivuori-Ritolehto,,704,http://aikataulut.hsl.fi/linjat/fi/b33.html
1034,HSL,34,Munkkivuori-Kaskisaari,,704,http://aikataulut.hsl.fi/linjat/fi/b34.html
1035,HSL,35,Niemenmäki-Munkkivuori-Rakuunantie,,704,http://aikataulut.hsl.fi/linjat/fi/b35.html
1036,HSL,36,Konala-Kannelmäki-Maununneva-Pirkkola,,704,http://aikataulut.hsl.fi/linjat/fi/b36.html
1037,HSL,37,Kamppi-Konala-Malminkartano-Honkasuo-Myyrmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b37.html
1040,HSL,40,Elielinaukio-Haaga-Kannelmäki,,702,http://aikataulut.hsl.fi/linjat/fi/b40.html
1040N,HSL,40N,Elielinaukio-Haaga-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b40N.html
1041,HSL,41,Kamppi-Pohjois-Haagan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b41.html
1042,HSL,42,Kamppi-Maununneva-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b42.html
1052,HSL,52,Kuninkaantammi-Kannelmäki-Huopalahti-Munkkivuori-Otaniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b52.html
1053,HSL,53,Arabia-Oulunkylä-Maunula-Pohjois-Haaga-Konala-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b53.html
1054,HSL,54,Itäkeskus (M)- Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b54.html
1055,HSL,55,Rautatientori-Koskela,,701,http://aikataulut.hsl.fi/linjat/fi/b55.html
1056,HSL,56,Kalasatama(M)-Käpylä-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b56.html
1057,HSL,57,Kontula(M) - Viikki - Koskela - Ruskeasuo - Munkkiniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b57.html
1059,HSL,59,Herttoniemi(M)-Kalasatama(M)-Pasila-Konala-Malminkartano,,701,http://aikataulut.hsl.fi/linjat/fi/b59.html
1061,HSL,61,Rautatientori-Pukinmäki-Tapaninkylä,,701,http://aikataulut.hsl.fi/linjat/fi/b61.html
1061N,HSL,61N,Rautatientori-Pukinmäki-Töyrynummi,,701,http://aikataulut.hsl.fi/linjat/fi/b61N.html
1063,HSL,63,Kamppi-Ruskeasuo-Maunula-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b63.html
1064,HSL,64,Rautatientori-Oulunkylä-Itä-Pakila,,701,http://aikataulut.hsl.fi/linjat/fi/b64.html
1065,HSL,65,Rautatientori-Käpylä-Veräjälaakso,,701,http://aikataulut.hsl.fi/linjat/fi/h65.html
1066,HSL,66,Rautatientori-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66.html
